,Province_State,Country_Region,Lat,Long,Date,Confirmed,Recovered,Deaths,geometry
18328,,Peru,-9.19,-75.0152,3/31/20,1065,2.0,30,POINT (-75.01519999999999 -9.19)
18329,,Philippines,13.0,122.0,3/31/20,2084,2.0,88,POINT (122 13)
18330,,Poland,51.9194,19.1451,3/31/20,2311,7.0,33,POINT (19.1451 51.9194)
18331,,Portugal,39.3999,-8.2245,3/31/20,7443,633.0,160,POINT (-8.224500000000001 39.3999)
18332,,Qatar,25.3548,51.1839,3/31/20,781,29.0,2,POINT (51.1839 25.3548)
18333,,Romania,45.9432,24.9668,3/31/20,2245,3.0,82,POINT (24.9668 45.9432)
18334,,Russia,60.0,90.0,3/31/20,2337,2.0,17,POINT (90 60)
18335,,Rwanda,-1.9403,29.8739,3/31/20,75,1.0,0,POINT (29.8739 -1.9403)
18336,,Saint Lucia,13.9094,-60.9789,3/31/20,13,66.0,0,POINT (-60.9789 13.9094)
18337,,Saint Vincent and the Grenadines,12.9843,-61.2872,3/31/20,1,1.0,0,POINT (-61.2872 12.9843)
18338,,San Marino,43.9424,12.4578,3/31/20,236,3.0,26,POINT (12.4578 43.9424)
18339,,Saudi Arabia,24.0,45.0,3/31/20,1563,1.0,10,POINT (45 24)
18340,,Senegal,14.4974,-14.4524,3/31/20,175,1.0,0,POINT (-14.4524 14.4974)
18341,,Serbia,44.0165,21.0059,3/31/20,900,5.0,16,POINT (21.0059 44.0165)
18342,,Seychelles,-4.6796,55.492,3/31/20,10,6.0,0,POINT (55.492 -4.6796)
18343,,Singapore,1.2833,103.8333,3/31/20,926,250.0,3,POINT (103.8333 1.2833)
18344,,Slovakia,48.669,19.699,3/31/20,363,127.0,0,POINT (19.699 48.669)
18345,,Slovenia,46.1512,14.9955,3/31/20,802,0.0,15,POINT (14.9955 46.1512)
18346,,Somalia,5.1521,46.1996,3/31/20,5,0.0,0,POINT (46.1996 5.1521)
18347,,South Africa,-30.5595,22.9375,3/31/20,1353,25.0,5,POINT (22.9375 -30.5595)
18348,,Spain,40.0,-4.0,3/31/20,95923,20.0,8464,POINT (-4 40)
18349,,Sri Lanka,7.0,81.0,3/31/20,143,32.0,2,POINT (81 7)
18350,,Sudan,12.8628,30.2176,3/31/20,7,61.0,2,POINT (30.2176 12.8628)
18351,,Suriname,3.9193,-56.0278,3/31/20,9,131.0,0,POINT (-56.0278 3.9193)
18352,,Sweden,63.0,16.0,3/31/20,4435,13.0,180,POINT (16 63)
18353,,Switzerland,46.8182,8.2275,3/31/20,16605,0.0,433,POINT (8.227499999999999 46.8182)
18354,,Taiwan*,23.7,121.0,3/31/20,322,12.0,5,POINT (121 23.7)
18355,,Tanzania,-6.369,34.8888,3/31/20,19,914.0,1,POINT (34.8888 -6.369)
18356,,Thailand,15.0,101.0,3/31/20,1651,57.0,10,POINT (101 15)
18357,,Togo,8.6195,0.8248,3/31/20,34,116.0,1,POINT (0.8248 8.6195)
18358,,Trinidad and Tobago,10.6918,-61.2225,3/31/20,87,75.0,3,POINT (-61.2225 10.6918)
18359,,Tunisia,34.0,9.0,3/31/20,394,109.0,10,POINT (9 34)
18360,,Turkey,38.9637,35.2433,3/31/20,13531,329.0,214,POINT (35.2433 38.9637)
18361,,Uganda,1.0,32.0,3/31/20,44,333.0,0,POINT (32 1)
18362,,Ukraine,48.3794,31.1656,3/31/20,645,0.0,17,POINT (31.1656 48.3794)
18363,,United Arab Emirates,24.0,54.0,3/31/20,664,0.0,6,POINT (54 24)
18364,Bermuda,United Kingdom,32.3078,-64.7505,3/31/20,32,1.0,0,POINT (-64.7505 32.3078)
18365,Cayman Islands,United Kingdom,19.3133,-81.2546,3/31/20,14,1.0,1,POINT (-81.2546 19.3133)
18366,Channel Islands,United Kingdom,49.3723,-2.3644,3/31/20,141,27.0,3,POINT (-2.3644 49.3723)
18367,Gibraltar,United Kingdom,36.1408,-5.3536,3/31/20,69,420.0,0,POINT (-5.3536 36.1408)
18368,Isle of Man,United Kingdom,54.2361,-4.5481,3/31/20,60,72.0,0,POINT (-4.5481 54.2361)
18369,Montserrat,United Kingdom,16.7425,-62.1874,3/31/20,5,0.0,0,POINT (-62.1874 16.7425)
18370,,United Kingdom,55.3781,-3.4360000000000004,3/31/20,25150,0.0,1789,POINT (-3.436 55.3781)
18371,,Uruguay,-32.5228,-55.7658,3/31/20,338,297.0,1,POINT (-55.7658 -32.5228)
18372,,US,37.0902,-95.7129,3/31/20,188172,10.0,3873,POINT (-95.7129 37.0902)
18373,,Uzbekistan,41.3775,64.5853,3/31/20,172,79.0,2,POINT (64.5853 41.3775)
18374,,Venezuela,6.4238,-66.5897,3/31/20,135,1.0,3,POINT (-66.58969999999999 6.4238)
18375,,Vietnam,16.0,108.0,3/31/20,212,95.0,0,POINT (108 16)
18376,,Zambia,-15.4167,28.2833,3/31/20,35,34219.0,0,POINT (28.2833 -15.4167)
18377,,Zimbabwe,-20.0,30.0,3/31/20,8,27.0,1,POINT (30 -20)
